genreId,itemCode,itemName,itemPrice,catchcopy,itemCaption,reviewAverage,reviewCount,shopCode,shopName,itemUrl,shopUrl,postageFlag
209090,bookoffonline:12660056,【中古】 Macbook超実戦テクニック！／情報・通信・コンピュータ,110,,情報・通信・コンピュータ販売会社/発売会社：インターナショナル・ラグジュアリー・メディア発売年月日：2013/06/27JAN：9784865090444,0.0,0,bookoffonline,ブックオフ 楽天市場店,https://item.rakuten.co.jp/bookoffonline/0017030976/,https://www.rakuten.co.jp/bookoffonline/,1
559311,wakeari:10048868,エレコム Macbook Pro 13 用 ヴィーガンソフトレザーハードシェルカバー パソコンケース MacBook Pro 13インチ ハードケース ブラック BM-SCLMP2213BK 【税込3300円以上で送料無料】[訳あり][ELECOM：エレコムわけありショップ][直営],110,[パッケージ不良]MacBook Pro 13インチ(2022年モデル)専用のハードケースです。,■MacBook Pro 13インチ(2022年モデル)専用のハードケースです。軽くて丈夫なポリカーボネート素材で機器本体を衝撃や傷から守ります。薄型軽量で表面にシンプルなレザー素材を採用しているので、機器本体のデザインを損ないません。底面にあるマグネットフラップを立てると約10度の角度がつき、スタンドとしても使用できます。■MacBook Pro 13インチ(2022年モデル)専用のハードケースです。 ■軽くて丈夫なポリカーボネート素材で機器本体を衝撃や傷から守ります。 ■薄さ約1.5mm、約290gと軽量で表面にシンプルなレザー素材を採用しているので、機器本体のデザインを損ないません。 ■底面にあるマグネットフラップを立てると約10度の角度がつき、スタンドとしても使用できます。 ■底面には排熱口があります。 ■ケースを装着したままで、各種ケーブルの接続が可能です。 ■※マグネットを使用しているため、データ破損の恐れがある磁気カード(クレジットカード、キャッシュカードなど)は近づけないでください。■重量：約290g■材質：ポリカーボネート、TPU(熱可塑性ポリウレタン)、合成皮革、磁石■カラー：ブラック■対応モデル：MacBook Pro 13インチ(2022年発売モデル),0.0,0,wakeari,エレコムわけありショップ,https://item.rakuten.co.jp/wakeari/4549550275996/,https://www.rakuten.co.jp/wakeari/,1
559311,elecom:10063669,エレコム Macbook Air 13 用 ヴィーガンソフトレザーハードシェルカバー パソコンケース MacBook Air 13インチ ハードケース ブラック BM-SCLMA2213BK,110,[在庫処分]MacBook Air 13インチ(2022年モデル)専用のハードケースです。,■MacBook Air 13インチ(2022年モデル)専用のハードケースです。軽くて丈夫なポリカーボネート素材で機器本体を衝撃や傷から守ります。薄型軽量で表面にシンプルなレザー素材を採用しているので、機器本体のデザインを損ないません。底面にあるマグネットフラップを立てると約10度の角度がつき、スタンドとしても使用できます。■MacBook Air 13インチ(2022年モデル)専用のハードケースです。 ■軽くて丈夫なポリカーボネート素材で機器本体を衝撃や傷から守ります。 ■薄さ約1.5mm、約290gと軽量で表面にシンプルなレザー素材を採用しているので、機器本体のデザインを損ないません。 ■底面にあるマグネットフラップを立てると約10度の角度がつき、スタンドとしても使用できます。 ■底面には排熱口があります。 ■ケースを装着したままで、各種ケーブルの接続が可能です。 ■※マグネットを使用しているため、データ破損の恐れがある磁気カード(クレジットカード、キャッシュカードなど)は近づけないでください。■重量：約290g■材質：ポリカーボネート、TPU(熱可塑性ポリウレタン)、合成皮革、磁石■カラー：ブラック■対応モデル：MacBook Air 13インチ(2022年発売モデル)エレコムダイレクトショップ,4.5,2,elecom,エレコムダイレクトショップ,https://item.rakuten.co.jp/elecom/4549550275989/,https://www.rakuten.co.jp/elecom/,1
209090,bookoffonline:10756541,【中古】 MacBookパワーアップガイド／情報・通信・コンピュータ,110,,情報・通信・コンピュータ販売会社/発売会社：角川グループパブリッシング（メディアワークス）発売年月日：2006/12/16JAN：9784756148476,0.0,0,bookoffonline,ブックオフ 楽天市場店,https://item.rakuten.co.jp/bookoffonline/0015852635/,https://www.rakuten.co.jp/bookoffonline/,1
559311,elecom:10063686,エレコム Macbook Pro 13 用 ヴィーガンソフトレザーハードシェルカバー パソコンケース MacBook Pro 13インチ ハードケース ブラック BM-SCLMP2213BK,110,[在庫処分]MacBook Pro 13インチ(2022年モデル)専用のハードケースです。,■MacBook Pro 13インチ(2022年モデル)専用のハードケースです。軽くて丈夫なポリカーボネート素材で機器本体を衝撃や傷から守ります。薄型軽量で表面にシンプルなレザー素材を採用しているので、機器本体のデザインを損ないません。底面にあるマグネットフラップを立てると約10度の角度がつき、スタンドとしても使用できます。■MacBook Pro 13インチ(2022年モデル)専用のハードケースです。 ■軽くて丈夫なポリカーボネート素材で機器本体を衝撃や傷から守ります。 ■薄さ約1.5mm、約290gと軽量で表面にシンプルなレザー素材を採用しているので、機器本体のデザインを損ないません。 ■底面にあるマグネットフラップを立てると約10度の角度がつき、スタンドとしても使用できます。 ■底面には排熱口があります。 ■ケースを装着したままで、各種ケーブルの接続が可能です。 ■※マグネットを使用しているため、データ破損の恐れがある磁気カード(クレジットカード、キャッシュカードなど)は近づけないでください。■重量：約290g■材質：ポリカーボネート、TPU(熱可塑性ポリウレタン)、合成皮革、磁石■カラー：ブラック■対応モデル：MacBook Pro 13インチ(2022年発売モデル)エレコムダイレクトショップ,0.0,0,elecom,エレコムダイレクトショップ,https://item.rakuten.co.jp/elecom/4549550275996/,https://www.rakuten.co.jp/elecom/,1
209112,renet3:12060797,【中古】MacBook仕事術！　2019 / スタンダーズ,139,,&nbsp;&nbsp;&nbsp; MacBook仕事術！　2019 単行本 の詳細 カテゴリ: 中古本 ジャンル: 女性・生活・コンピュータ コンピューター・インターネットその他 出版社: スタンダーズ レーベル: 作者: スタンダーズ カナ: マックブックシゴトジュツ2019 / スタンダーズ サイズ: 単行本 ISBN: 9784866363080 発売日: 2018/10/15 関連商品リンク : スタンダーズ スタンダーズ,0.0,0,renet3,ネットオフ楽天市場支店,https://item.rakuten.co.jp/renet3/0012954625/,https://www.rakuten.co.jp/renet3/,1
209179,renet3:12540449,【中古】MacBook仕事術！ 2021/,139,,&nbsp;&nbsp;&nbsp; MacBook仕事術！　2021 単行本 の詳細 入力、情報収集、編集、整理、効率化、管理。仕事における日常的なプロセスを6つのキーワードに分け、それぞれの過程でMacBookをどのように活用できるのかを解説する。 カテゴリ: 中古本 ジャンル: 産業・学術・歴史 電気・電子 出版社: スタンダーズ レーベル: 作者: 小原裕太 カナ: マックブックシゴトジュツ2021 / オハラユウタ サイズ: 単行本 ISBN: 4866364834 発売日: 2021/03/01 関連商品リンク : 小原裕太 スタンダーズ,0.0,0,renet3,ネットオフ楽天市場支店,https://item.rakuten.co.jp/renet3/0013264092/,https://www.rakuten.co.jp/renet3/,1
209179,renet3:12012414,【中古】MacBook完全使いこなしガイド /,139,,&nbsp;&nbsp;&nbsp; MacBook完全使いこなしガイド 単行本 の詳細 MacBookを徹底的に使いこなそう！　Finderの機能から、カスタマイズ、標準アプリケーション活用術、iPhone・iPadとの連携、トラブル対処法までをわかりやすく解説する。 カテゴリ: 中古本 ジャンル: 産業・学術・歴史 電気・電子 出版社: マイナビ出版 レーベル: マイナビムック 作者: マイナビ出版 カナ: マックブックカンゼンツカイコナシガイド / マイナビシュッパン サイズ: 単行本 ISBN: 4839968915 発売日: 2019/03/01 関連商品リンク : マイナビ出版 マイナビ出版 マイナビムック,0.0,0,renet3,ネットオフ楽天市場支店,https://item.rakuten.co.jp/renet3/0012915465/,https://www.rakuten.co.jp/renet3/,1
209179,renet3:12161513,【中古】今日から使えるMacBook　Air　＆　Pro / 小枝祐基,139,,&nbsp;&nbsp;&nbsp; 今日から使えるMacBook　Air　＆　Pro 単行本 の詳細 カテゴリ: 中古本 ジャンル: 産業・学術・歴史 電気・電子 出版社: ソシム レーベル: 作者: 小枝祐基 カナ: キョウカラツカエルマックブックエアーアンドプロ / コエダユウキ サイズ: 単行本 ISBN: 4802612371 発売日: 2019/12/01 関連商品リンク : 小枝祐基 ソシム,0.0,0,renet3,ネットオフ楽天市場支店,https://item.rakuten.co.jp/renet3/0013038782/,https://www.rakuten.co.jp/renet3/,1
303097,plusnao:10354937,送料無料 MacBook 保護フィルム トラックパッド用 タッチパッド専用 マックブック 指紋防止 防塵 傷防止 透明 クリア プロテクター,170,パソコン・周辺機器 周辺機器 マウス・キーボード・入力機器 その他,MacBookのトラックパッド部分をキズから守る♪ 目立ちにくいクリアタイプのプロテクターフィルムです。 【カラーについて】 生産ロットにより柄の出方や色の濃淡が異なる場合がございます。 お使いのモニターや撮影時の光の加減などにより 画像と実際の商品のカラーが異なる場合もございます。 予告なしにカラーやデザインなどの変更がある場合もございます。 【素材について】 PET 【補足説明】 傷防止のため、ビニールコーティングしている場合がございますので、 剥がしてからご使用お願いいたします。,0.0,0,plusnao,Plus Nao,https://item.rakuten.co.jp/plusnao/zak-24286/,https://www.rakuten.co.jp/plusnao/,0
